asset_date,vcoin_id,currency,币种状态,开盘时间,官网,合约地址,official_twitter,family,chain_id,dex_chain_id,chain_source,chain_status
2026-05-31,9254d9e8a11746989affd7379797b6b0,HASH,正常,2026-05-11 17:40:00,,0xAC7b5d06fa1e77D08aea40d46cB7C5923A87A0cc,https://x.com/hash256dotorg,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,4036379cdecf469d848c025ab23683f5,POD,正常,2026-05-11 13:50:00,https://dphn.ai/,0xeD664536023d8E4b1640C394777D34aBAFF1dF8F,https://x.com/dphnAI,evm,8453,8453,goplus_probe,goplus_symbol_match
2026-05-31,4f11205a56a546288ac865c1bf9b7993,LO0P,正常,2026-05-10 17:40:00,,0x00000000000050806673B532D7486ac114c1De3F,https://x.com/lo0pio,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,442eb94702f24973a3f8913dae8f563a,MAXXING,正常,2026-05-09 13:50:00,https://www.solmaxxing.xyz/,32CdQdBUxbCsLy5AUHWmyidfwhgGUr9N573NBUrDpump,https://twitter.com/_maxxing,solana,solana,solana,address_format,
2026-05-31,d8edb195ed4b4dc9bfd70191a1bb83ee,SHIT,正常,2026-05-09 13:50:00,,0xaF1E52927d724Fd34773Bd53adA57f4C2B742069,https://x.com/42069SHIT,evm,,,,unresolved_no_result
2026-05-31,7d42457d522845cbab8456f19d9ad7a1,SHARE,正常,2026-05-08 18:00:00,https://www.sharex.network/,0x5FCA51aff213bFBEAB0b711b93c3374252fD6aC3,https://x.com/ShareX_Network,evm,,,,unresolved_no_result
2026-05-31,b4554bfec1234edd9ff991ef452df244,BSA,正常,2026-05-08 16:00:00,https://blocksecx.com/,0xFa8c84143859AFC868014896D8a10cb80a396D2A,https://x.com/BlockSec_Arena,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,fca1cb82457a49cb91bceda510c9610e,HANTA,正常,2026-05-08 10:15:00,https://hantavirusol.site/,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,https://x.com/HantaVirusol,solana,solana,solana,address_format,
2026-05-31,7519b267a1c042e0bd8ee9910da5a47d,USDUC,正常,2026-05-07 09:55:00,https://usduc.io/,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,https://twitter.com/usduc_official,solana,solana,solana,address_format,
2026-05-31,5f1872af1ddf4efc946a856763b3552a,KAIO,正常,2026-05-06 21:03:00,https://www.kaio.xyz/,0x00BAC91fd8f5b4a0dc03C8021139B76F6549Ee7E,https://twitter.com/KAIO_xyz,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,5b9d89a2d87743088712212c883b8abd,SN85,正常,2026-05-06 18:00:00,https://vidaio.io/,85,https://x.com/vidaio_,other,,,,
2026-05-31,ceff008bd2b54158b2a2ba44742c27f0,UTYA,正常,2026-05-05 21:00:00,https://tonutya.com,EQBaCgUwOoc6gHCNln_oJzb0mVs79YG7wYoavh-o1ItaneLA,https://twitter.com/TonUtyacoin,ton,ton,ton,address_format,
2026-05-31,bf8a170626494f12879f10fd82187656,BILL,正常,2026-05-04 15:03:00,https://billions.network/,0xDf24f8c21Cb404B3031a450D8e049D6E39FC1fA5,https://twitter.com/billions_ntwk,evm,56,56,goplus_probe,goplus_symbol_match
2026-05-31,90356bf9e5734236a8b75c407d18395c,SATO,正常,2026-05-04 13:35:00,https://sat0.org/,0x829f4B62EEBE12Af653b4dD4fFc480966F7d7f09,,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,132af0a58dba4719b4491e6db24b2716,LFI,正常,2026-05-03 15:20:00,https://lienfi.com/,0x3722264aB15a1dfCe5a5af89e6547F7949A8ABA3,https://x.com/lienfiapp,evm,8453,8453,goplus_probe,goplus_symbol_match
2026-05-31,5222d1be1a6d4e94b93f6cab98e5d8dc,熊猫头,正常,2026-05-03 11:35:00,,0xf3525965a4aD3ca0AC13f4D2F237113691194444,https://x.com/xiongmaotoubnb,evm,,,,unresolved_no_result
2026-05-31,f01e75e3efb349e7a0488e2a915098b7,GOBLIN,正常,2026-05-02 10:40:00,,3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump,https://x.com/GoblinCoinOnSol,solana,solana,solana,address_format,
2026-05-31,da6bea7f8b7a419d8b0c80016d19cd33,KUVI,正常,2026-05-01 22:00:00,https://www.kuvi.ai/,0xCCd6b38FffEeAb9c0Ac2413bCcf8b0ACed748881,https://x.com/kuvilabs,evm,,,,unresolved_no_result
2026-05-31,aa4618e5c2df4914a100a86ba1330a8b,ASSET,正常,2026-04-30 23:00:00,https://www.real.finance/,0x99E980265Bf36516C442be982df1772a6cCb3233,https://x.com/RealFinOfficial,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,a6681a6a2ddf45348163410af43379a0,MEGA,正常,2026-04-30 18:20:00,https://www.megaeth.com/,0x28B7E77f82B25B95953825F1E3eA0E36c1c29861,https://x.com/megaeth,evm,,,,unresolved_no_result
2026-05-31,b2aab8fa63aa40b789a0d2d327b5be73,QONE,正常,2026-04-30 18:00:00,http://www.qonetoken.io/,0x4F9E014f620D83b08342C8BDFf3043fb2220b727,https://x.com/qlabsofficial,evm,,,,unresolved_no_result
2026-05-31,86e101bfc46e4b168d8d851c1b9d5638,SKYAI,正常,2026-04-30 11:00:00,https://skyai.pro,0x92aa03137385F18539301349dcfC9EbC923fFb10,https://twitter.com/SKYAIpro,evm,,,,unresolved_no_result
2026-05-31,2808499b31614171bea68f290e00f4c1,SPC,正常,2026-04-29 22:00:00,https://into.space/,2MU93nLHhDsHzgEYBKbVbwLDd2pi71ubGp8SkEv9dZwQ,https://x.com/intodotspace,solana,solana,solana,address_format,
2026-05-31,30940541215647d0b4000e21ee78109a,USDGO,正常,2026-04-29 18:00:00,https://www.usdgo.com/,72puLt71H93Z9CzHuBRTwFpL4TG3WZUhnoCC7p8gxigu,https://x.com/usdgo_official,solana,solana,solana,address_format,
2026-05-31,312800004c1c4150adbd56c9f61fbf0a,AI,正常,2026-04-29 17:02:00,https://gensyn.foundation/,0x4d7078DDd6cCFED2F85dB5B7D3Ff16828d378d48,https://twitter.com/gensynai,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,8bc58c7176684ab9856727a287a642c1,ACN,正常,2026-04-29 16:00:00,https://aitech.io,0x3e76dd57E649A263a532cC9bcC58b32A065fB2a4,https://twitter.com/AITECHio,evm,1,1,goplus_probe,goplus_symbol_match
2026-05-31,86debc8bc31b409297165a927a3825da,PROS,正常,2026-04-28 21:00:00,https://www.pharos.xyz/,,https://twitter.com/pharos_network,missing,,,,
